Id,Price,Year,Mileage,City,State,Vin,Make,Model
583,47835,2018,19,Seattle, WA,ZASFAKPN0J7B63378,Alfa,Romeo
658,42777,2018,6,Grapevine, TX,WA1JCCFS9JR002407,Audi,Q3Premium
835,41777,2018,4257,Valencia, CA,WBA4J1C55JBA30192,BMW,4
3434,18500,2018,367,Greenfield, WI,3HGGK5H69JM702073,Honda,FitSport
10204,41295,2018,7,West Chester, PA,3GKALWEU0JL143288,GMC,TerrainAWD
20828,77980,2018,100,Lewisville, TX,1FTFW1RG8JFA16136,Ford,F-150Raptor
23440,49830,2018,10,Draper, UT,1FTEW1EG3JFA08799,Ford,F-150Limited
23698,48060,2018,10,Draper, UT,1FTEW1EG7JKC15591,Ford,F-150Limited
23699,48060,2018,11,Draper, UT,1FTEW1EG5JKC15590,Ford,F-150Limited
23700,48060,2018,11,Draper, UT,1FTEW1EG3JKC15586,Ford,F-150Limited
23701,48060,2018,11,Draper, UT,1FTEW1EG9JKC15589,Ford,F-150Limited
24439,48805,2018,10,Draper, UT,1FTEW1EG1JKC15571,Ford,F-150Limited
24883,45350,2018,11,Draper, UT,1FTFW1EG2JKC10920,Ford,F-150Limited
26217,43510,2018,10,Draper, UT,1FTFW1E56JKC28772,Ford,F-150Lariat
26800,43575,2018,10,Draper, UT,1FTEW1E5XJKC28771,Ford,F-150Lariat
27221,43040,2018,10,Draper, UT,1FTEW1E59JKC28793,Ford,F-150Lariat
32830,37625,2018,11,Draper, UT,1FTYR1YM3JKA04135,Ford,Transit
90767,96875,2018,92,Tomball, TX,1G1YU2D69J5600837,Chevrolet,CorvetteCoupe
91951,65650,2018,5,Southgate, MI,1GC1KWEY3JF125721,Chevrolet,Silverado
92273,68840,2018,22,Missoula, MT,1GC1KXEY7JF117966,Chevrolet,Silverado
92600,63000,2018,30,Alliance, OH,1G1FK1R61J0105982,Chevrolet,CamaroCoupe
94448,49995,2018,1520,McKinney, TX,1GNEVJKW8JJ103507,Chevrolet,TraverseAWD
97917,36900,2018,2496,Florissant, MO,2GNAXMEV6J6112250,Chevrolet,EquinoxFWD
104709,27500,2018,2561,Clinton Township, MI,2GNAXJEV5J6138109,Chevrolet,EquinoxFWD
106186,26900,2018,2749,Florence, AL,2GNAXJEV5J6139180,Chevrolet,EquinoxFWD
113703,32900,2018,12777,Brandon, MS,2GNAXMEV7J6100138,Chevrolet,EquinoxFWD
114617,29867,2018,57872,Surprise, AZ,2GNAXMEV4J6103708,Chevrolet,EquinoxFWD
117354,31900,2018,2573,Jacksonville, IL,2GNAXVEV5J6116537,Chevrolet,EquinoxAWD
119258,30770,2018,13,Cherry Hill, NJ,2GNAXJEV0J6132010,Chevrolet,EquinoxFWD
119428,27750,2018,11145,Charlotte, NC,2GNAXJEV8J6136161,Chevrolet,EquinoxFWD
120333,27500,2018,3001,Clinton Township, MI,2GNAXJEV5J6136246,Chevrolet,EquinoxFWD
120350,27700,2018,2902,Clinton Township, MI,2GNAXJEV1J6105771,Chevrolet,EquinoxFWD
120406,27500,2018,3340,Clinton Township, MI,2GNAXJEV3J6109739,Chevrolet,EquinoxFWD
120414,27500,2018,3477,Clinton Township, MI,2GNAXJEV8J6104441,Chevrolet,EquinoxFWD
120422,27500,2018,3652,Clinton Township, MI,2GNAXJEV4J6108762,Chevrolet,EquinoxFWD
120493,25297,2018,6973,Moreno Valley, CA,2GNAXHEVXJ6128006,Chevrolet,EquinoxFWD
120542,27056,2018,129,Cocoa, FL,2GNAXKEX5J6137047,Chevrolet,EquinoxFWD
120550,26969,2018,221,Forest Hills, NY,2GNAXSEV4J6138110,Chevrolet,EquinoxAWD
120781,27500,2018,3861,Clinton Township, MI,2GNAXJEV7J6125569,Chevrolet,EquinoxFWD
121174,27000,2018,4980,Delaware, OH,2GNAXJEV4J6118837,Chevrolet,EquinoxFWD
121333,27718,2018,30,Olive Branch, MS,3GNAXJEV3JL119327,Chevrolet,EquinoxFWD
121529,26850,2018,31,Fuquay-Varina, NC,2GNAXKEXXJ6151445,Chevrolet,EquinoxFWD
121547,25751,2018,4512,Cheshire, CT,2GNAXSEV2J6105185,Chevrolet,EquinoxAWD
121883,25250,2018,74,Lake Park, FL,2GNAXJEV9J6133365,Chevrolet,EquinoxFWD
122025,26050,2018,5,Delano, CA,3GNAXHEV6JL121940,Chevrolet,EquinoxFWD
122034,26000,2018,3009,Clinton Township, MI,2GNAXJEV7J6104642,Chevrolet,EquinoxFWD
122646,25989,2018,1462,Grapevine, TX,2GNAXJEVXJ6135349,Chevrolet,EquinoxFWD
122670,24339,2018,3251,Westminster, MD,2GNAXSEV3J6107088,Chevrolet,EquinoxAWD
123245,25997,2018,891,Jacksonville, AR,2GNAXHEVXJ6133044,Chevrolet,EquinoxFWD
124110,24055,2018,1950,Brook Park, OH,2GNAXJEV6J6109234,Chevrolet,EquinoxFWD
125073,24011,2018,5841,Union City, GA,2GNAXJEV7J6104043,Chevrolet,EquinoxFWD
125095,23603,2018,1127,Murfreesboro, TN,2GNAXHEV1J6134695,Chevrolet,EquinoxFWD
127725,23495,2018,1186,Wilmington, NC,3GNAXHEV4JL101153,Chevrolet,EquinoxFWD
136810,96620,2018,6,Miami, FL,1G6A15S63J0119102,Cadillac,CTS-V
137722,48955,2018,11,Miami, FL,1GYKNCRS2JZ101791,Cadillac,XT5FWD
147786,65985,2018,5,Lancaster, PA,WBAJA7C53JWA71290,BMW,5
148279,52835,2018,14,Lancaster, PA,WBA4W5C58JAA49849,BMW,4
148363,54610,2018,8,Lancaster, PA,WBA4J3C59JBG91137,BMW,4
148371,58976,2018,6392,Tampa, FL,5UXXW7C56J0W64123,BMW,X4M40i
148542,41900,2018,3528,Rahway, NJ,WBA4J3C56JBB97429,BMW,4
148916,54980,2018,502,Silver Spring, MD,WBAJA7C5XJWA71447,BMW,5
148986,48590,2018,7719,Silver Spring, MD,WBA4W5C57JAA49227,BMW,4
148993,53980,2018,434,Silver Spring, MD,5UXXW3C50J0T80754,BMW,X4xDrive28i
149061,50469,2018,21,Loveland, CO,WBA4J3C59JBG91218,BMW,4
149075,48977,2018,10217,Evanston, IL,WBA4Z3C52JEA31691,BMW,4
149199,52500,2018,4515,Shrewsbury, MA,WBA4J7C53JBB98657,BMW,4
149218,53310,2018,8,Lancaster, PA,WBA4J3C55JBG91927,BMW,4
149226,53595,2018,129,Berkeley, CA,WBA4W3C55JAC97299,BMW,4
149275,54000,2018,4301,Murrieta, CA,WBA4J5C56JBF06344,BMW,4
149284,54000,2018,5018,Murrieta, CA,WBA4J5C51JBF06347,BMW,4
149292,55010,2018,8,Lancaster, PA,WBA4W5C50JAA49716,BMW,4
149348,55990,2018,13,Lancaster, PA,WBA4W5C50JAA49604,BMW,4
149356,54992,2018,4648,Harriman, NY,WBA4Z3C51JEC47869,BMW,4
149407,55990,2018,23,Silver Spring, MD,WBA4Z3C5XJEC57218,BMW,4
149460,59900,2018,9181,Huntington Station, NY,5UXXW7C5XJ0W64013,BMW,X4M40i
149524,41646,2018,8532,Temple Hills, MD,WBA4Z3C50JEC48396,BMW,4
149567,56991,2018,9161,Gainesville, FL,WBA4Z3C57JEA31864,BMW,4
149655,62587,2018,165,Athens, GA,5UXXW7C56J0W63831,BMW,X4M40i
149682,61995,2018,7050,Huntington Station, NY,5UXXW7C51J0W63994,BMW,X4M40i
149807,44995,2018,4496,Saint James, NY,WBA4W5C52JAA49474,BMW,4
149811,49968,2018,9028,San Antonio, TX,5UXXW3C58J0T81277,BMW,X4xDrive28i
149846,49944,2018,6501,Miami, FL,5UXXW3C52J0T81209,BMW,X4xDrive28i
149860,49980,2018,6171,Houston, TX,5UXXW3C56J0T81259,BMW,X4xDrive28i
149897,45445,2018,4908,Fremont, CA,WBA4J1C5XJBA29779,BMW,4
149934,45995,2018,4746,Harriman, NY,WBA4W5C56JAA49316,BMW,4
150039,46900,2018,9271,Marietta, GA,WBA4Z1C54JEC59051,BMW,4
150044,47494,2018,4281,Loveland, CO,WBA4J3C53JBB97341,BMW,4
150072,47820,2018,9265,Taylorville, IL,WBA4Z1C5XJEC58745,BMW,4
150084,53900,2018,4380,Minnetonka, MN,5UXXW3C51J0T80651,BMW,X4xDrive28i
150104,47900,2018,8074,Costa Mesa, CA,WBA4Z1C51JEC58617,BMW,4
150160,48987,2018,4709,Rochelle Park, NJ,WBA4J3C52JBB97248,BMW,4
150170,48499,2018,9411,Hagerstown, MD,WBA4Z1C50JEC58978,BMW,4
150173,48799,2018,4000,Spring Valley, NY,WBA4J3C5XJBB97563,BMW,4
150174,47950,2018,12032,Rocky Mount, NC,WBA4Z1C53JEC58585,BMW,4
150269,48790,2018,9410,Capitol Heights, MD,WBA4Z1C55JEC59057,BMW,4
150387,49844,2018,11024,Pittsburgh, PA,WBA4Z3C59JEA31655,BMW,4
150394,50981,2018,4985,Hamilton, NJ,WBA4J3C54JBB97350,BMW,4
150415,52187,2018,1372,Ocala, FL,WBA4W7C5XJAB87632,BMW,4
150452,59500,2018,4617,Marlow Heights, MD,WBAJB1C59JG623988,BMW,5
150479,51988,2018,5189,Mt. Juliet, TN,WBA4Z3C53JEC48179,BMW,4
150497,59990,2018,404,Silver Spring, MD,WBAJE7C51JWC54367,BMW,5
150534,62995,2018,2081,Albuquerque, NM,5UXXW7C53J0W63981,BMW,X4M40i
150590,61990,2018,179,Silver Spring, MD,5UXKR0C54J0X84107,BMW,X5xDrive35i
150601,50988,2018,10763,Cincinnati, OH,WBA4Z3C55JEC47647,BMW,4
150630,56695,2018,6093,Tampa, FL,5UXXW3C54J0T81275,BMW,X4xDrive28i
150647,51990,2018,233,Silver Spring, MD,WBA4Z1C57JEC59187,BMW,4
150685,42999,2018,6175,Encinitas, CA,WBA4W3C50JAB87308,BMW,4
150688,49888,2018,688,Torrance, CA,WBAJA9C56JG622847,BMW,5
150724,43494,2018,4888,Irvine, CA,WBA4J1C5XJBA29829,BMW,4
150917,58777,2018,4909,Barrington, IL,5UXXW7C57J0W64261,BMW,X4M40i
150925,58895,2018,1145,Winter Park, FL,5UXXW7C59J0W63712,BMW,X4M40i
150968,61900,2018,4820,Minnetonka, MN,5UXXW7C55J0W63707,BMW,X4M40i
150985,41897,2018,4768,Rochelle Park, NJ,WBA4J3C52JBG90816,BMW,4
150988,56299,2018,500,Spring Valley, NY,WBA4J7C53JBB98836,BMW,4
151017,44300,2018,4126,Los Angeles, CA,WBA4J1C58JBG75547,BMW,4
151114,51250,2018,4301,Marlow Heights, MD,5UXXW3C5XJ0T81197,BMW,X4xDrive28i
151223,52990,2018,969,Silver Spring, MD,WBAJA7C58JWA71754,BMW,5
151244,45665,2018,7770,Los Angeles, CA,WBA4J5C54JBF06424,BMW,4
151285,46480,2018,10474,Louisville, KY,WBA4Z1C59JEA31319,BMW,4
151375,58859,2018,7012,Baltimore, MD,5UXXW7C54J0W64069,BMW,X4M40i
151453,47492,2018,4883,Irvine, CA,WBA4J1C58JBG75712,BMW,4
151457,45945,2018,4640,Buffalo Grove, IL,WBA4Z1C59JEC58977,BMW,4
151505,46591,2018,12458,Tuscaloosa, AL,WBA4Z1C58JEC58968,BMW,4
151546,51893,2018,4516,Rockland, MA,5UXXW3C59J0T80607,BMW,X4xDrive28i
151562,46995,2018,11761,Westborough, MA,WBA4Z3C57JEC48055,BMW,4
151591,55195,2018,500,Spring Valley, NY,WBAJA7C58JWA71043,BMW,5
151597,46990,2018,13460,Montclair, CA,WBA4Z3C50JEA31639,BMW,4
151625,50991,2018,12550,Westmont, IL,WBA4Z3C59JEA31705,BMW,4
151684,52785,2018,9,Lancaster, PA,WBA4J3C56JBG91001,BMW,4
151743,47895,2018,6992,Winter Park, FL,WBA4J5C56JBF06179,BMW,4
151747,46450,2018,10420,Rocky Mount, NC,WBA4Z3C55JEA32057,BMW,4
151820,41283,2018,4875,Pembroke Pines, FL,WBA4J1C56JBG75661,BMW,4
151851,41609,2018,4407,Pembroke Pines, FL,WBA4J1C52JBG75947,BMW,4
152082,49977,2018,8875,Evanston, IL,WBA4Z3C52JEA31805,BMW,4
152083,50720,2018,4675,Melbourne, FL,WBA4J1C53JBA29932,BMW,4
152114,42415,2018,7915,Los Angeles, CA,WBA4J1C56JBA29875,BMW,4
152192,53595,2018,7805,Huntington Station, NY,5UXXW3C50J0T81192,BMW,X4xDrive28i
152238,48995,2018,2918,Miami Gardens, FL,WBA4Z1C56JEA31374,BMW,4
152254,43299,2018,750,Spring Valley, NY,WBA4J3C52JBG91593,BMW,4
152291,42900,2018,2261,Plano, TX,WBA4Z1C5XJEC58633,BMW,4
152316,48895,2018,8502,Winter Park, FL,5UXXW3C50J0T81516,BMW,X4xDrive28i
152344,43990,2018,3600,Silver Spring, MD,WBA4J3C52JBB97704,BMW,4
152348,43990,2018,3682,Silver Spring, MD,WBA4J3C5XJBG91440,BMW,4
152374,43898,2018,4059,Murrieta, CA,WBA4J1C55JBG75988,BMW,4
152407,55395,2018,500,Spring Valley, NY,WBAJA7C54JWA71332,BMW,5
152477,48987,2018,10396,San Antonio, TX,5UXXW3C5XJ0T81264,BMW,X4xDrive28i
152488,43998,2018,3870,Murrieta, CA,WBA4J1C55JBG75733,BMW,4
152491,43898,2018,5118,Murrieta, CA,WBA4J1C50JBG75607,BMW,4
152496,43995,2018,4452,Rochelle Park, NJ,WBA4J3C54JBB97526,BMW,4
152499,43988,2018,4241,Murrieta, CA,WBA4J1C53JBA30109,BMW,4
152528,48998,2018,6325,Decatur, GA,5UXXW3C56J0T80600,BMW,X4xDrive28i
152572,44291,2018,8306,Tuscaloosa, AL,WBA4J1C56JBG75790,BMW,4
152611,44899,2018,4000,Spring Valley, NY,WBA4J3C51JBB97483,BMW,4
152720,47697,2018,4439,Rochelle Park, NJ,WBA4J3C57JBB97388,BMW,4
152755,44980,2018,10,Silver Spring, MD,WBA4J3C55JBG95346,BMW,4
152776,49691,2018,2349,Annapolis, MD,5UXXW3C56J0T80953,BMW,X4xDrive28i
152785,44974,2018,4909,Pembroke Pines, FL,WBA4J1C55JBA30113,BMW,4
152804,45825,2018,10,Annapolis, MD,WBA4J3C52JBB97363,BMW,4
152845,45990,2018,4509,Alexandria, VA,WBA4W5C56JAA49557,BMW,4
152854,49744,2018,6409,Miami, FL,5UXXW3C50J0T81273,BMW,X4xDrive28i
152862,52944,2018,4678,Charleston, SC,WBAJA9C56JG623254,BMW,5
153105,53990,2018,46,Silver Spring, MD,WBAJA7C50JG907497,BMW,5
153119,53990,2018,446,Silver Spring, MD,WBAJA7C57JWA71101,BMW,5
153124,46989,2018,3935,White Plains, NY,WBA4J3C55JBG90809,BMW,4
153131,53980,2018,884,Silver Spring, MD,WBAJA7C58JWA71561,BMW,5
153178,51985,2018,10,Lancaster, PA,WBA8D9G50JNU66929,BMW,3
153179,51985,2018,10,Lancaster, PA,WBA8D9C58JA012537,BMW,3
153240,44999,2018,9561,Orlando, FL,WBA4Z1C53JEC58957,BMW,4
153469,45990,2018,480,Silver Spring, MD,WBA4J3C54JBG94933,BMW,4
153472,44488,2018,8309,Fallston, MD,WBA4Z1C58JEC58971,BMW,4
153477,44400,2018,12775,Charlotte, NC,WBA4Z1C50JEA31306,BMW,4
153485,49944,2018,6454,Miami, FL,5UXXW3C52J0T81503,BMW,X4xDrive28i
153542,41998,2018,4629,Sudbury, MA,WBA4J3C55JBB97566,BMW,4
153686,42777,2018,9870,Port Richey, FL,WBA4Z3C51JEA31844,BMW,4
153747,44795,2018,7473,Norwalk, CA,WBA4W3C51JAB87057,BMW,4
153808,47824,2018,6227,Baltimore, MD,5UXXW3C50J0T81239,BMW,X4xDrive28i
153866,47968,2018,10249,San Antonio, TX,5UXXW3C5XJ0T81216,BMW,X4xDrive28i
153901,42995,2018,4433,Rochelle Park, NJ,WBA4J3C51JBB97662,BMW,4
154228,39135,2018,4301,Pembroke Pines, FL,WBA4J1C52JBA29954,BMW,4
154250,49735,2018,13,Lancaster, PA,WBA8D9G54JNU66819,BMW,3
154406,43998,2018,4808,Murrieta, CA,WBA4J1C52JBG76161,BMW,4
154573,45000,2018,4430,Marlow Heights, MD,WBA4W5C54JAA49220,BMW,4
154580,43976,2018,6747,Tampa, FL,WBA4W3C52JAB87326,BMW,4
