user_id,car,comfort,performance,fuel_economy,interior_design,exterior_styling,reliability
1347,OdysseyElite,5,1,2,5,1,3
533,Suburban4WD,2,1,5,3,2,3
1115,VoltLT,3,2,5,2,1,4
1979,Yukon,5,5,1,2,1,1
1403,EdgeSEL,1,2,4,1,5,4
578,CLACLA,3,3,5,5,5,5
1497,JourneySE,3,3,5,1,1,4
1075,F-150Platinum,2,2,1,3,3,1
404,EnvisionFWD,2,4,3,1,5,5
163,EdgeSport,4,1,4,1,1,3
894,TahoePremier,5,2,1,3,4,4
236,EscapeS,1,1,1,4,3,1
947,Atlas3.6L,5,5,3,5,3,5
1784,TLXFWD,1,5,3,4,4,5
45,500,5,4,1,3,3,3
442,G803.8L,1,4,3,4,4,5
1812,G905.0L,1,2,3,4,5,1
731,SorentoEX,1,3,5,5,3,5
614,RDXAWD,4,5,1,4,5,3
14,RidgelineRTL,1,2,3,5,1,5
893,PacificaTouring,5,5,4,3,1,4
1284,CLACLA,1,5,3,2,3,2
1419,ChargerSXT,4,4,4,4,3,3
1179,OptimaLX,2,3,3,3,2,1
1455,Forester2.5i,4,1,4,1,5,4
1352,ChargerSXT,3,5,1,3,5,5
680,GLEAMG,2,4,3,2,2,1
1753,Forester2.0XT,4,3,3,4,3,5
630,ExpeditionLimited,5,1,5,5,2,1
1693,CamaroConvertible,2,5,1,4,4,1
382,EscapeFWD,4,1,5,1,3,3
1946,OptimaLX,3,3,3,1,5,5
1975,WRXPremium,2,3,1,4,4,3
1508,ElantraSE,5,5,4,3,3,2
611,VeranoSport,3,2,2,5,1,5
243,OdysseyLX,2,2,5,5,5,4
1455,FiestaTitanium,1,5,5,1,3,2
1475,FiestaSE,5,4,1,3,1,5
1512,MustangGT,1,1,1,1,5,1
1281,CountrymanCooper,2,5,5,1,3,2
1124,MustangShelby,3,3,4,3,4,4
1087,Challenger392,1,2,1,4,3,3
783,CruzeSedan,1,4,3,2,5,4
1863,PacificaTouring-L,4,2,5,2,5,3
815,ChallengerR/T,1,5,5,1,2,4
901,MalibuPremier,3,2,2,1,1,2
507,FusionHybrid,2,4,1,5,3,2
944,Challenger392,3,2,3,2,4,4
804,FlexSE,1,5,1,4,1,1
384,A3,3,2,3,4,3,2
932,A4Premium,1,3,3,3,2,2
1833,488,3,4,3,4,3,1
2,Sierra,2,1,5,2,5,1
801,WRXLimited,2,1,2,4,1,1
757,F-150King,3,3,5,4,3,3
1444,FiestaSE,1,3,2,4,4,2
1300,SportageLX,5,5,1,1,4,4
589,XT5AWD,1,1,3,5,2,5
776,RidgelineRTL-E,1,2,2,3,5,4
1886,SonataSEL,4,2,3,2,3,5
1776,Santa,1,2,1,5,4,5
1667,FocusSE,1,1,3,5,2,3
541,Q50Red,1,3,4,2,4,2
311,Malibu1LT,5,4,2,3,3,5
1612,FusionHybrid,1,1,4,4,2,3
228,Silverado,1,4,2,5,5,4
754,FiestaTitanium,3,1,2,4,4,3
1190,FocusST,4,2,1,4,2,4
819,TahoeLS,2,4,1,3,1,2
597,Grand,3,2,2,3,2,1
1596,Soul!,1,4,2,1,5,1
246,S4Premium,2,2,1,1,5,4
1796,Yukon2WD,5,5,4,3,2,1
442,XT5FWD,4,3,3,3,2,3
486,SQ5Premium,5,1,2,5,1,3
236,RidgelineRTL-E,5,2,1,5,5,2
352,Q52.0,1,1,4,3,5,4
417,A5,1,5,2,2,1,3
304,JourneyGT,4,4,1,2,5,1
1242,Versa,2,5,5,4,5,2
1292,SportageLX,1,5,5,4,4,4
584,A4Premium,3,4,1,4,1,5
1381,FiestaS,3,5,5,2,1,3
1731,TahoePremier,4,4,1,1,3,4
635,G805.0L,3,1,3,2,1,5
1820,Crosstrek2.0i,2,3,1,5,5,5
94,Yukon,4,4,2,4,2,2
1688,TaurusLimited,4,5,4,3,3,1
397,Savana,2,2,3,5,3,1
1178,488,1,1,5,3,5,4
1346,XC90T6,1,2,3,4,5,5
1236,EscapeFWD,1,4,5,5,3,5
1260,300300C,3,1,4,4,5,3
419,HR-VEX-L,5,2,1,2,3,3
1551,MustangV6,1,2,5,4,2,2
400,RidgelineRTL-E,2,1,5,5,3,4
831,C-Max,5,5,1,1,3,4
1337,WRXManual,4,2,5,1,5,4
842,FiestaSE,4,3,1,1,2,3
1015,S4Prestige,5,1,3,5,3,4
303,TerrainFWD,1,3,4,3,5,4
1302,ElantraLimited,4,4,2,3,3,2
448,FitEX,1,2,2,1,3,5
